7711,2021_0,PatchTST,weather,192,S,0.08986998,0.11858632
7710,2021_0,PatchTST,weather,96,S,0.013655323,0.07303938
7712,2021_0,PatchTST,weather,336,S,0.0234661,0.06778146
7708,2021_0,PatchTST,weather,720,S,0.106912725,0.07632996
7702,2021_0,PatchTST,ETTm2,192,S,0.1341487,0.26809233
7703,2021_0,PatchTST,ETTm2,336,S,0.18302146,0.31883562
7700,2021_0,PatchTST,ETTm2,96,S,0.087338254,0.21425778
7714,2021_0,PatchTST,ETTm2,192,M,0.2727052,0.33074743
7713,2021_0,PatchTST,ETTm2,336,M,0.34002814,0.37172654
7715,2021_0,PatchTST,ETTm2,96,M,0.19059002,0.27379462
7701,2021_0,PatchTST,ETTm2,720,S,0.21830589,0.3655961
7709,2021_0,PatchTST,ETTm2,720,M,0.43158796,0.4288567
7706,2021_0,PatchTST,weather,192,M,0.20648357,0.25009564
7705,2021_0,PatchTST,weather,96,M,0.15128326,0.19854811
7707,2021_0,PatchTST,weather,336,M,0.27349022,0.2947053
7704,2021_0,PatchTST,weather,720,M,0.3431095,0.34471497
7716,2021_1,PatchTST,weather,192,S,0.16342838,0.14224109
7717,2021_1,PatchTST,weather,96,S,0.008718802,0.05999566
7718,2021_1,PatchTST,weather,336,S,0.051089056,0.10147302
7719,2021_1,PatchTST,weather,720,S,0.040663045,0.08177456
7720,2021_1,PatchTST,ETTm2,192,S,0.12789977,0.2675958
7721,2021_1,PatchTST,ETTm2,336,S,0.17641781,0.31264395
7722,2021_1,PatchTST,ETTm2,96,S,0.09457528,0.21791945
7723,2021_1,PatchTST,ETTm2,192,M,0.2638346,0.32459244
7724,2021_1,PatchTST,ETTm2,336,M,0.34476167,0.3745103
7725,2021_1,PatchTST,ETTm2,96,M,0.18675657,0.27100402
7726,2021_1,PatchTST,ETTm2,720,S,0.2243397,0.36691636
7727,2021_1,PatchTST,ETTm2,720,M,0.4365075,0.43248758
7732,2021_2,PatchTST,weather,192,S,0.06881693,0.0878695
7733,2021_2,PatchTST,weather,96,S,0.017716788,0.07636662
7734,2021_2,PatchTST,weather,336,S,0.0314152,0.06261954
7735,2021_2,PatchTST,weather,720,S,0.14390273,0.08940001
7736,2021_2,PatchTST,ETTm2,192,S,0.14311081,0.27524307
7728,2021_1,PatchTST,weather,192,M,0.2099749,0.25054413
7730,2021_1,PatchTST,weather,336,M,0.2784465,0.29728296
7729,2021_1,PatchTST,weather,96,M,0.15280178,0.20100105
7731,2021_1,PatchTST,weather,720,M,0.34169576,0.34376955
7737,2021_2,PatchTST,ETTm2,336,S,0.17575455,0.31208217
