7759,2021_0,PatchTST,weather,96,S,0.006966327,0.053325947
7763,2021_0,PatchTST,weather,192,S,0.029351445,0.072989576
7760,2021_0,PatchTST,weather,336,S,0.011686155,0.056718647
7751,2021_0,PatchTST,ETTm2,192,S,0.13649113,0.26995727
7750,2021_0,PatchTST,ETTm2,96,S,0.08881124,0.21570347
7758,2021_0,PatchTST,weather,720,S,0.05495494,0.06533215
7753,2021_0,PatchTST,ETTm2,336,S,0.18685542,0.32197824
7761,2021_0,PatchTST,ETTm2,192,M,0.26972583,0.32858527
7764,2021_0,PatchTST,ETTm2,96,M,0.18941571,0.27262288
7765,2021_0,PatchTST,ETTm2,336,M,0.3368071,0.36915836
7752,2021_0,PatchTST,ETTm2,720,S,0.21951337,0.36701936
7762,2021_0,PatchTST,ETTm2,720,M,0.425801,0.42504826
7755,2021_0,PatchTST,weather,96,M,0.15218991,0.19975835
7757,2021_0,PatchTST,weather,192,M,0.20746204,0.2506786
7756,2021_0,PatchTST,weather,336,M,0.27277997,0.29471025
7754,2021_0,PatchTST,weather,720,M,0.34223256,0.34516206
7766,2021_1,PatchTST,weather,96,S,0.0027794,0.03743035
7767,2021_1,PatchTST,weather,192,S,0.03001316,0.06311861
7768,2021_1,PatchTST,weather,336,S,0.081935264,0.096013546
7769,2021_1,PatchTST,ETTm2,192,S,0.13419265,0.270239
7770,2021_1,PatchTST,ETTm2,96,S,0.09098288,0.21631725
7771,2021_1,PatchTST,weather,720,S,0.1061303,0.07433212
7772,2021_1,PatchTST,ETTm2,336,S,0.18522948,0.32308984
7773,2021_1,PatchTST,ETTm2,192,M,0.27616653,0.33106503
7774,2021_1,PatchTST,ETTm2,96,M,0.18664554,0.26955485
7775,2021_1,PatchTST,ETTm2,336,M,0.34033534,0.37288117
7776,2021_1,PatchTST,ETTm2,720,S,0.22741525,0.37115905
7782,2021_2,PatchTST,weather,96,S,0.00484232,0.04680555
7777,2021_1,PatchTST,ETTm2,720,M,0.42815712,0.4278692
7783,2021_2,PatchTST,weather,192,S,0.021273624,0.07868228
7784,2021_2,PatchTST,weather,336,S,0.03694882,0.08976512
7778,2021_1,PatchTST,weather,96,M,0.15215571,0.19986612
7779,2021_1,PatchTST,weather,192,M,0.20727883,0.2500722
7785,2021_2,PatchTST,ETTm2,192,S,0.134632,0.27172637
7780,2021_1,PatchTST,weather,336,M,0.2738495,0.29429674
